"gene_ID","ES1060192","ES1081720","ES1081721","ES1081722","ES1081723","ES1081714","ES1081725","ES1081726","ES1060191","ES1060193","ES1081719","ES1060195","ES1081724","ES1081708","ES1081709","ES1081715","ES1081716","ES1081710","ES1081711","ES1081717","ES1081712","ES1060211","ES1060213","ES1081713","ES1060215","ES1060197","ES1060217","ES1060199","ES1081741","ES1060219","ES1072184","ES1072185","ES1072186","ES1072187","ES1072192","ES1072193","ES1072194","ES1072195","ES1072196","ES1072197","ES1072198","ES1072199","ES1072200","ES1072201","ES1072202","ES1072203","ES1072204","ES1072205","ES1072206","ES1072207","ES1072188","ES1072189","ES1072190","ES1072191","ES1072183","ES1072181","ES1072182"
"BFSP2",0.3511343165,2.4954361827,1.7330724276,2.529719703,2.7790970278,2.4335379025,4.7537215751,3.5680133815,1.0548461919,3.0767860385,8.4169232428,0.410361548,0.9327712738,3.4502566109,1.113740158,2.3560085803,1.3970692445,1.0402100722,2.8607851976,3.904560175,1.4173162311,0.9556817475,5.061137493,6.7245470134,1.4410492099,1.2767917888,0.7552564943,2.1095577355,2.7377806624,1.4581517564,0.2034085444,2.1486561903,1.1298350602,0,0,0,0.1005640662,0,0.1125392999,0,0.0964541192,1.193307306,0.2925848296,1.0630888136,1.3295803205,1.4697835253,0,0.6000806654,3.2287288946,2.6216703291,0,1.6035620348,0.998488026,0,0,0,0
"BGN",0.2332352029,0,0,0,0,0,0,0,0,0.0632562919,0,0,0,0,0,0,0,0.0683505592,0,0.0254092853,0,0,0,0,0,0.0499811732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHMT",0.1717226219,0,0.1868541701,0,0,0,0.227322832,0,0,0.0607260402,0.2444073397,0,0.0925995696,0,0,0,0.1446733221,0.1345651633,0.1036056723,0.0974022603,0,0.156384286,0,0,0.1448952588,0,0.1227291803,0.1026548776,0,0.0742331803,0,0.0665469517,0.0612370603,0.36015552,0,0,0.2616274745,0.8950265052,0.0731955607,0,0,0.055437648,0.3805943463,0,0.1441265067,0,0,0,0,0,0,0,0,0.0622999732,0,0,0
"BK250D10.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838518404,0.3275706347,0,0,0,0.1712665196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLID",0.4972266963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182825231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLM",4.5314267994,4.5035560542,5.0847691036,2.3972975525,2.2315155733,2.8199154116,0.8535749476,3.5889469672,4.0552439413,5.0225495776,4.2177723772,4.526488051,5.9218553994,6.4195982546,2.7297552892,3.2649691245,2.6710582002,5.4509570929,3.9095283299,4.4466249281,2.3428631643,6.7766523914,4.9630361495,0.9048519215,5.1793468859,3.0738421535,4.2388770744,4.4603544335,1.9988323193,5.2387415831,1.9356605056,2.7923853417,1.014306431,3.8444162548,2.3038693254,4.1943198904,3.0334457624,0,5.2940693714,5.3931194175,9.0055087051,2.6323088157,1.225780525,4.3519963525,6.5251620764,5.3259586683,1.6597312155,2.930641299,5.1151461325,5.9176167978,3.4068181009,5.0025876452,3.9042763538,1.1007062411,3.213546847,4.3697907772,8.0940649963
"BLNK",0.0794537504,0,0,0,0,0,0,0,0.188279183,0,0,0,0.0632387304,0,0,0.1264827172,0,0,0,0,0.1275816575,0,0.0869534635,0,0.1975844438,0,0.5900441362,0.1385840848,0,1.2009868103,0,0,0.0839784151,0,0.8707987567,0,4.9333211391,3.1912629094,0,0,0,1.1403794842,0,0,0,2.8602619205,0.5496626764,0,0.1694012191,1.0021556199,0,0,1.4843129734,0.1708721153,0,0,0
"BMP15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1422607995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMS1P4",6.1076866872,7.1590768222,7.850210821,9.2124720232,10.3168222705,5.5032111515,2.9574254712,5.1310544457,4.9918121849,6.2674334024,6.82711169,6.7159170419,6.3645265124,6.7648705388,5.5492891967,3.322851046,4.6835288894,5.0024065484,4.3514382385,7.4660949984,2.8230341297,8.7198719447,4.11802685,2.7883326597,5.1530022934,6.2294716814,4.0736647163,7.1268148802,4.3946772578,7.8209957845,6.749842718,9.082300809,4.4521842281,9.2642044907,4.3967720896,5.7481478401,6.2570346266,7.306338818,7.8423814984,4.2804635798,5.3611758417,13.0108765689,7.8481402197,8.1137541735,5.5150449008,8.091853659,5.5384590855,7.9651523422,8.9809439198,3.8837791136,7.5043778688,7.9818118424,4.6018750859,4.5294623406,6.1743734611,10.3496070227,5.2525117954
"BOK",1.0226466589,0,0.0887557308,0.2579948795,0,0,0,0,0,0.2859184394,0,0.1251102281,0.9237371695,0.049324612,0.0630876778,0.0300128482,0,2.3623662009,0,0,0,0,0,0,0.0684959405,0.3680431847,0,0.1437168287,0.0550768951,0.0689308103,0,0,0,0.1700772195,0,0,0,0,0,0,0,0.5235894219,0.2995485033,0.1959103601,0.9528575247,0,0,0,0,0,0.1355292289,0,0,2.2947666761,0.1088543363,0,0
